,Education,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumWebPurchases,NumWebVisitsMonth,Month_Customer,Age,Children,Is_Parent,Family_Size,Total_Compaign_Accepted,Offline Purchases,KMean_cluster
335,2,62204.0,38,317,46,247,151,46,139,4,3,28,55,2,1,3,0,18,2
336,2,75693.0,10,797,153,293,72,97,30,11,4,25,47,0,0,1,3,11,0
337,2,30675.0,14,10,2,16,11,2,21,1,8,26,43,1,1,3,0,4,1
338,2,83003.0,18,856,61,570,40,25,122,7,3,22,50,0,0,2,1,15,0
340,2,68655.0,95,456,19,832,75,118,38,4,3,29,27,0,0,1,0,17,0
341,2,41411.0,11,37,32,38,11,3,18,2,6,13,29,0,0,1,0,6,1
342,4,55212.0,65,1103,0,45,0,0,34,4,8,26,46,1,1,3,2,16,2
343,4,59292.0,71,378,14,68,19,14,14,3,3,19,65,1,1,3,0,15,3
344,1,27190.0,13,1,6,7,0,1,3,1,8,17,42,1,1,3,1,3,1
345,2,82623.0,58,204,34,204,172,153,173,2,1,14,63,0,0,1,0,14,0
346,2,44300.0,65,30,0,9,0,0,3,1,6,19,50,2,1,4,0,5,3
347,2,84835.0,0,189,104,379,111,189,218,4,1,7,45,0,0,1,0,11,0
348,2,30372.0,33,15,0,12,7,3,7,2,7,25,44,2,1,3,0,6,1
349,3,33181.0,90,9,0,3,0,0,4,1,6,12,39,1,1,3,1,3,3
350,2,71113.0,95,495,33,255,11,33,8,6,4,13,58,1,1,3,0,20,2
351,2,71952.0,93,656,80,455,52,107,93,8,4,24,29,1,1,3,2,14,2
352,4,69759.0,38,452,20,514,13,30,0,4,3,15,49,0,0,1,0,14,0
353,2,72099.0,18,546,91,410,119,0,22,3,1,27,41,0,0,2,0,15,0
354,4,60000.0,57,1048,0,217,0,0,12,11,6,25,39,1,1,2,0,13,2
355,2,38643.0,45,22,2,14,0,1,10,2,7,14,37,2,1,3,0,5,3
356,2,50737.0,61,78,0,11,0,0,10,2,6,20,60,1,1,3,1,5,3
357,4,68462.0,6,561,64,785,84,128,48,3,1,25,46,0,0,2,0,12,0
358,3,65073.0,65,629,17,177,69,0,8,5,2,17,72,0,0,2,0,9,0
359,4,46681.0,52,269,15,69,15,19,38,4,5,15,67,2,1,4,0,12,3
360,2,78618.0,87,736,163,818,212,163,61,4,2,28,58,0,0,2,1,18,0
361,4,62187.0,38,512,0,83,0,0,41,6,4,10,46,1,1,2,0,15,3
362,2,28442.0,53,19,3,10,11,8,6,2,4,11,37,2,1,4,0,8,3
363,4,37717.0,31,9,0,6,4,1,5,1,9,26,37,1,1,3,0,3,1
364,2,51479.0,67,247,8,160,6,8,65,6,7,25,48,2,1,4,0,16,2
365,2,54803.0,65,404,0,92,28,27,142,6,4,29,46,1,1,2,0,13,2
366,2,79530.0,64,333,0,815,129,42,29,4,2,20,55,0,0,2,0,22,0
367,2,31615.0,82,2,3,20,6,11,9,2,7,22,39,1,1,2,0,5,1
368,2,72025.0,27,833,33,549,151,133,233,4,3,26,53,0,0,2,0,12,0
369,4,52614.0,63,789,0,142,12,9,38,2,8,25,40,1,1,2,0,14,2
370,0,35684.0,66,10,4,7,0,6,3,1,6,9,31,1,1,3,0,4,1
371,2,48178.0,69,159,4,45,6,2,38,5,8,27,40,2,1,4,0,11,3
372,3,29548.0,52,7,1,6,3,1,11,1,4,17,45,1,1,2,1,4,1
373,2,63810.0,45,977,12,253,16,12,101,4,8,26,49,1,1,2,1,19,2
374,4,38578.0,2,38,4,22,3,3,3,3,8,19,43,2,1,3,0,6,3
375,3,46098.0,86,57,0,27,0,0,36,3,8,29,40,2,1,3,0,8,3
376,2,22585.0,23,3,9,15,13,2,39,1,9,22,45,0,0,1,1,4,1
377,2,30279.0,13,10,4,14,4,4,1,1,8,25,26,1,1,2,0,4,1
378,4,66426.0,14,1043,24,97,32,24,157,3,6,15,54,1,1,3,0,17,2
379,2,30822.0,92,3,9,13,2,12,12,1,7,19,46,1,1,2,0,4,1
380,4,33581.0,38,11,0,5,0,0,1,1,8,24,46,2,1,4,0,3,3
381,2,19986.0,74,3,6,5,0,2,6,0,7,14,30,1,1,3,0,4,1
382,2,27421.0,14,43,12,96,78,40,55,4,7,25,61,0,0,1,0,10,1
383,0,35688.0,94,73,3,90,12,1,32,4,8,29,42,3,1,5,0,12,3
384,3,36143.0,33,12,0,1,0,0,6,0,3,10,34,1,1,2,0,4,1
385,2,10245.0,32,4,7,7,6,4,13,1,5,20,44,1,1,2,0,7,1
386,3,43795.0,11,314,11,53,4,3,107,7,7,15,47,1,1,3,1,10,2
387,2,63381.0,78,571,50,142,33,50,159,4,2,27,55,1,1,3,0,22,2
388,2,38823.0,56,70,0,11,2,8,23,2,6,29,66,1,1,3,0,5,3
389,4,83664.0,57,866,21,151,28,21,86,2,5,20,47,2,1,3,0,17,2
390,2,90300.0,7,594,134,786,33,134,57,5,1,12,36,0,0,2,1,14,0
391,3,62499.0,0,140,4,61,0,13,4,3,4,13,36,1,1,3,0,9,3
392,2,74293.0,66,375,152,335,93,91,81,5,2,8,22,0,0,1,0,11,0
393,4,51012.0,86,102,9,63,2,9,24,4,6,21,69,0,0,2,0,6,3
394,3,70777.0,80,554,35,113,0,7,78,5,3,11,47,1,1,3,0,18,2
395,4,68682.0,56,919,0,505,99,30,45,4,2,15,24,0,0,2,0,20,0
396,2,43824.0,18,96,1,42,12,3,32,3,8,28,44,2,1,4,0,9,3
397,2,15345.0,51,5,2,16,3,2,19,1,8,29,31,1,1,3,0,5,1
398,2,23442.0,71,2,0,6,8,6,5,1,7,25,28,1,1,2,0,4,1
399,0,14515.0,71,6,4,9,6,36,35,2,7,26,35,1,1,3,0,9,1
400,0,31395.0,80,23,1,25,0,8,7,2,6,22,59,2,1,3,0,8,1
401,2,75276.0,2,610,105,125,137,42,21,9,5,28,50,0,0,2,0,14,0
402,2,42373.0,83,67,5,61,3,8,19,2,5,17,41,2,1,3,0,11,3
403,2,30507.0,29,65,36,74,38,20,110,5,7,22,55,0,0,2,0,6,1
404,4,55521.0,11,416,0,26,0,0,4,6,7,15,60,3,1,4,1,18,3
405,2,48006.0,55,23,0,11,3,2,2,1,6,7,50,2,1,4,0,4,3
406,4,27213.0,19,19,3,26,10,9,3,2,8,29,43,1,1,2,0,7,1
407,4,65808.0,1,155,7,80,13,7,10,5,6,8,44,2,1,3,0,9,3
408,4,30351.0,19,14,0,24,3,3,2,3,9,19,41,1,1,3,0,3,3
409,2,50437.0,28,370,9,92,6,9,4,7,7,27,52,2,1,4,0,12,3
410,0,23616.0,76,4,22,11,3,7,32,3,8,26,33,1,1,2,0,5,1
411,2,53858.0,50,407,53,221,58,150,26,4,4,26,39,1,1,3,0,13,2
412,4,66465.0,1,1200,0,204,38,29,14,11,6,22,60,1,1,3,1,24,2
413,2,46923.0,90,85,44,54,102,78,6,5,7,29,28,1,1,2,0,11,1
414,2,75072.0,83,583,34,309,0,22,125,5,3,24,53,1,1,3,0,14,2
415,4,75865.0,73,483,0,591,156,0,12,3,1,10,72,0,0,2,0,16,0
416,0,19789.0,24,2,5,9,28,6,28,2,5,14,40,1,1,3,1,7,1
417,2,80134.0,11,966,26,282,52,26,26,2,5,11,21,0,0,2,4,19,0
418,2,91065.0,33,822,114,108,179,137,114,7,3,23,34,0,0,1,2,19,0
419,3,49505.0,4,604,0,100,19,0,28,10,8,22,44,2,1,4,0,19,2
420,4,37401.0,14,19,3,19,3,1,3,2,7,8,42,1,1,3,0,5,3
421,2,30096.0,30,5,3,11,12,5,9,2,6,8,32,1,1,3,0,4,1
422,3,18492.0,75,2,2,2,2,1,1,1,8,7,33,1,1,3,0,3,1
423,3,82584.0,26,1076,68,103,29,91,68,3,1,19,41,0,0,2,2,13,0
424,4,93027.0,77,1285,42,716,55,0,21,7,2,21,74,0,0,2,1,15,0
425,2,48686.0,8,10,0,7,2,0,1,1,8,13,62,3,1,5,0,3,3
426,2,92910.0,42,551,137,792,179,103,33,6,1,9,29,0,0,2,3,21,0
427,2,75433.0,28,800,0,297,0,34,57,2,6,9,26,1,1,3,2,17,2
428,0,10404.0,52,2,2,11,10,6,12,1,5,8,26,1,1,3,0,6,1
429,2,61314.0,1,378,0,189,97,172,172,5,3,21,47,1,1,3,0,19,2
430,4,84865.0,1,1248,16,349,43,16,16,2,4,20,54,0,0,1,4,14,0
431,2,42387.0,42,235,0,235,19,4,191,8,8,27,26,1,1,3,0,13,2
432,0,67309.0,76,515,47,181,149,95,95,9,7,24,48,2,1,4,0,30,2
433,2,75236.0,27,438,66,400,12,38,114,8,4,14,51,1,1,3,0,17,2
434,2,30015.0,28,25,0,22,2,3,5,1,5,11,45,1,1,2,0,6,1
435,3,50943.0,49,31,0,7,2,0,6,1,5,19,59,1,1,3,0,4,3
436,2,67272.0,12,357,35,271,28,28,14,6,5,13,49,1,1,2,0,17,2
437,3,51529.0,14,400,4,35,6,0,22,9,8,16,66,1,1,2,0,8,3
438,4,32011.0,89,99,0,15,2,1,5,2,7,17,44,1,1,3,0,8,3
439,0,7500.0,96,1,11,5,4,6,9,2,8,23,29,1,1,3,0,5,1
440,2,28691.0,56,5,4,13,8,0,4,1,8,18,26,1,1,3,0,4,1
441,4,56223.0,72,77,28,31,16,0,4,2,4,13,67,1,1,3,0,8,3
442,2,18100.0,14,3,1,2,4,3,1,0,5,17,69,0,0,2,0,4,1
443,2,30279.0,13,10,4,14,4,4,1,1,8,25,26,1,1,2,0,4,1
444,0,20130.0,99,0,6,3,7,6,12,1,8,10,41,0,0,2,0,4,1
445,2,23295.0,72,0,0,1,2,12,5,1,8,18,56,0,0,1,0,3,1
446,3,42618.0,92,76,14,74,13,5,10,5,8,15,43,1,1,2,0,6,3
447,2,81246.0,87,398,190,537,61,156,37,4,1,13,51,0,0,1,2,13,0
448,2,24027.0,7,14,7,11,11,0,5,2,8,19,39,1,1,3,0,5,1
449,4,55707.0,91,208,7,82,30,66,35,3,3,13,62,1,1,3,0,13,3
450,2,57959.0,71,430,16,322,43,24,33,4,3,20,60,1,1,2,0,23,2
451,2,56796.0,24,656,38,161,62,47,37,8,7,23,46,1,1,3,0,19,2
452,3,36230.0,17,14,2,30,8,2,3,2,5,15,44,1,1,2,0,5,1
453,0,70829.0,87,141,70,106,72,19,23,4,3,13,35,2,1,4,0,12,2
454,2,65991.0,21,507,19,364,25,47,9,9,7,28,39,1,1,3,0,18,2
455,2,38988.0,90,164,24,103,12,3,42,5,8,29,43,3,1,5,0,14,3
456,0,89572.0,44,606,24,974,197,194,64,7,4,28,49,0,0,1,2,17,0
457,3,42207.0,71,116,11,72,3,17,46,4,6,21,31,1,1,3,1,10,3
458,2,50300.0,52,143,15,60,24,23,5,2,2,8,63,1,1,3,0,11,3
459,0,66664.0,78,398,96,447,220,96,32,5,3,28,33,0,0,2,0,14,0
460,2,60597.0,2,522,0,257,32,16,66,2,7,12,51,1,1,3,1,14,2
461,2,70165.0,60,161,0,253,199,191,122,3,1,16,66,0,0,1,0,19,0
462,4,50520.0,25,112,0,6,2,1,14,3,6,12,57,1,1,2,0,6,3
463,2,80124.0,47,483,84,398,205,84,241,3,1,7,52,0,0,2,1,16,0
464,2,33183.0,46,7,5,39,17,15,37,4,7,11,40,1,1,3,0,5,1
465,4,66582.0,83,789,25,420,16,38,0,2,1,10,46,0,0,1,0,18,0
466,4,75261.0,17,1239,17,413,23,34,17,5,2,21,60,0,0,2,2,12,0
467,2,31880.0,13,4,1,5,2,0,3,1,8,27,45,1,1,2,0,3,1
468,2,53790.0,86,335,42,127,28,5,5,7,6,10,64,2,1,4,0,13,3
469,4,49269.0,92,639,8,166,11,8,58,7,7,29,44,1,1,3,0,18,2
470,2,61456.0,47,563,76,384,84,192,89,6,4,22,40,1,1,3,0,27,2
471,2,37406.0,18,2,0,8,2,2,3,1,8,15,35,1,1,3,0,3,1
472,4,56937.0,81,746,8,125,11,8,8,8,6,29,34,1,1,3,1,22,2
473,2,38415.0,91,22,1,13,4,0,4,1,7,24,37,2,1,4,0,5,3
474,2,20518.0,58,4,1,6,4,1,9,1,5,8,27,1,1,2,0,4,1
475,2,62503.0,40,478,0,193,110,75,117,8,5,23,59,1,1,3,0,18,2
476,4,41644.0,67,20,3,4,2,0,2,1,3,8,43,2,1,3,0,5,3
477,3,55842.0,19,451,0,39,0,4,24,7,5,8,38,1,1,3,0,10,3
478,4,62010.0,93,371,22,39,6,0,92,6,5,27,43,1,1,3,0,13,2
479,2,41124.0,41,281,7,84,15,0,119,7,8,27,38,1,1,3,0,14,2
480,3,38961.0,60,19,7,19,0,1,24,2,7,13,42,1,1,3,0,4,3
481,3,37760.0,54,26,3,13,2,10,0,2,6,17,43,1,1,2,0,4,1
482,2,32233.0,26,138,15,35,25,11,72,6,9,29,41,1,1,2,1,6,1
483,2,43057.0,30,213,2,44,0,2,5,4,5,15,40,1,1,3,0,11,3
484,3,83151.0,93,407,28,100,120,74,18,5,3,27,55,0,0,2,0,14,0
485,4,78825.0,35,483,74,114,169,37,18,5,3,28,51,0,0,1,0,24,0
486,3,65104.0,4,738,0,232,13,20,50,3,7,14,39,1,1,3,0,14,2
487,2,60093.0,92,502,12,109,16,6,90,7,6,19,41,1,1,3,0,14,2
488,2,14045.0,24,11,0,5,2,1,1,1,7,12,46,1,1,3,0,4,1
489,0,28457.0,96,24,1,108,29,29,14,4,8,27,63,0,0,1,0,6,1
490,4,78952.0,11,1170,19,594,99,76,134,2,6,28,57,1,1,3,0,19,2
491,2,46310.0,99,185,2,88,15,5,14,6,8,25,39,1,1,2,0,8,1
492,2,76005.0,72,983,20,389,240,50,40,3,6,23,60,0,0,2,1,19,0
493,3,58308.0,77,691,0,69,10,0,130,2,8,24,51,1,1,2,0,13,2
494,4,55614.0,85,504,13,131,8,0,26,9,7,14,71,0,0,1,1,11,2
495,3,59432.0,88,317,25,265,25,19,12,5,5,21,53,1,1,2,0,17,2
496,2,55563.0,22,29,1,9,2,0,2,2,3,9,37,1,1,2,0,4,1
497,4,78642.0,83,1396,0,322,46,35,17,4,6,21,44,1,1,3,0,14,2
498,4,67911.0,63,529,0,356,63,28,0,6,3,8,66,1,1,3,0,21,2
499,2,65275.0,9,388,14,218,91,14,21,4,2,21,71,0,0,2,0,17,0
500,2,27203.0,92,13,2,21,4,0,24,1,8,29,65,2,1,4,0,5,3
501,3,48330.0,2,28,0,4,0,0,0,1,5,14,54,1,1,3,0,4,3
502,1,24279.0,6,16,36,21,20,62,108,4,8,25,25,0,0,2,0,5,1
503,4,64355.0,66,1047,0,140,67,38,153,4,8,29,30,1,1,3,0,17,2
504,3,50943.0,49,31,0,7,2,0,6,1,5,19,59,1,1,3,0,4,3
505,2,53653.0,29,815,10,239,28,10,108,10,6,26,62,0,0,1,0,18,2
506,2,65665.0,77,225,162,387,106,36,29,5,3,13,39,1,1,3,0,19,2
507,2,81217.0,77,493,70,324,146,40,84,3,1,18,26,0,0,1,0,19,0
508,2,34935.0,71,34,4,66,3,10,20,2,7,19,23,0,0,2,0,6,1
509,2,61250.0,49,382,138,65,60,26,59,5,5,25,56,1,1,2,0,20,2
510,4,39665.0,97,127,1,56,0,1,31,4,7,20,34,1,1,3,1,8,3
511,2,60152.0,6,325,83,300,86,58,91,6,3,22,36,1,1,2,0,17,2
512,2,48920.0,93,238,17,68,8,10,6,6,7,15,51,2,1,4,1,10,3
513,3,89120.0,78,1168,92,408,72,129,55,5,1,10,56,0,0,2,1,14,0
514,4,44124.0,62,284,0,55,0,6,52,6,8,20,69,1,1,3,0,11,3
515,3,81169.0,47,1288,20,613,80,61,27,5,2,21,40,0,0,1,0,17,0
516,2,36443.0,9,65,0,46,4,3,20,3,8,23,54,2,1,4,0,8,3
517,2,26095.0,77,11,7,9,3,1,11,1,7,19,25,1,1,2,0,4,1
518,2,71367.0,24,227,23,389,42,21,75,4,2,17,56,0,0,2,0,13,0
519,3,80184.0,19,1035,134,670,25,38,0,6,3,10,71,0,0,2,2,14,0
520,2,30630.0,67,27,1,12,2,0,10,2,7,12,50,2,1,3,0,5,3
521,3,73454.0,95,982,73,351,56,14,175,2,5,10,28,0,0,1,1,11,0
522,2,42691.0,48,179,2,64,38,17,58,5,5,17,24,0,0,2,0,8,1
523,2,70503.0,73,1379,33,216,0,33,66,2,6,28,62,0,0,2,2,14,0
524,2,25545.0,35,32,1,64,16,12,85,2,6,28,28,1,1,3,0,8,1
525,2,32880.0,76,8,4,15,7,6,2,1,8,25,29,1,1,3,0,4,1
526,4,77863.0,20,881,38,319,16,25,12,4,2,14,57,0,0,2,0,16,0
527,3,50353.0,72,141,15,153,67,31,35,4,3,7,38,0,0,2,0,11,0
528,2,61839.0,20,1000,155,379,224,17,120,4,8,29,51,0,0,1,0,13,0
529,4,49154.0,69,206,10,67,30,27,71,4,6,14,55,2,1,4,0,15,3
530,0,47682.0,80,162,61,83,97,57,61,4,5,23,40,1,1,2,0,15,2
531,2,72679.0,65,619,54,260,127,54,54,4,1,16,46,1,1,2,0,13,0
532,3,57954.0,52,456,4,24,0,0,9,8,7,7,38,2,1,4,1,15,3
533,2,65316.0,65,112,6,92,3,9,38,3,4,21,53,2,1,4,0,9,3
534,2,28567.0,57,11,3,22,2,2,6,2,6,19,33,1,1,2,0,5,1
535,3,47352.0,70,172,12,112,8,0,15,6,7,21,64,1,1,3,0,10,3
536,2,44931.0,0,78,0,11,0,0,7,2,5,12,48,1,1,3,0,5,3
537,2,76982.0,19,464,151,292,65,60,30,8,4,11,48,0,0,1,1,8,0
538,0,57247.0,50,99,4,32,37,54,6,2,2,17,63,1,1,3,0,10,1
539,3,22944.0,67,19,3,19,4,5,26,3,7,13,34,1,1,2,0,6,1
540,0,25315.0,46,1,9,8,11,3,22,3,8,14,38,1,1,3,0,6,1
541,2,43638.0,37,63,10,83,7,19,19,4,7,29,46,1,1,2,0,7,1
542,4,42710.0,38,252,3,42,4,3,102,4,6,26,31,1,1,2,0,10,1
543,4,84169.0,9,1478,19,403,0,19,0,7,3,17,33,0,0,2,2,13,0
544,2,54058.0,56,198,18,252,32,108,54,4,3,19,39,1,1,3,0,16,2
545,0,24683.0,98,8,4,10,6,7,6,2,5,10,25,1,1,3,0,6,1
546,2,85620.0,68,416,46,925,60,107,46,3,1,12,51,0,0,1,0,11,0
547,2,47850.0,72,42,7,43,20,12,10,3,6,13,35,1,1,3,0,5,1
548,2,19514.0,47,14,3,21,2,1,28,3,8,12,47,2,1,4,1,7,3
549,3,27159.0,33,17,0,3,0,0,1,1,6,10,42,2,1,4,0,5,3
550,0,39548.0,87,15,4,10,3,4,18,1,3,10,52,2,1,3,0,6,3
551,2,21474.0,0,6,16,24,11,0,34,3,7,9,26,1,1,2,1,5,1
552,4,60504.0,73,458,0,24,6,4,34,6,6,11,44,1,1,2,0,12,3
553,2,22419.0,74,30,3,47,19,21,42,3,8,21,52,0,0,2,0,5,1
554,3,81698.0,4,179,28,520,111,123,47,3,1,14,66,0,0,2,0,22,0
555,2,43462.0,50,90,17,97,15,6,15,4,8,28,63,2,1,4,0,12,3
556,4,54880.0,57,308,85,137,102,45,118,6,5,22,37,1,1,2,0,15,2
557,2,79908.0,30,557,129,761,29,185,111,5,2,21,33,0,0,2,1,14,0
558,0,15315.0,27,7,4,13,15,8,17,2,5,17,45,0,0,2,0,6,1
559,2,87771.0,61,1492,38,287,50,57,33,5,6,20,56,1,1,3,4,15,2
560,2,33039.0,4,30,8,12,8,8,12,2,5,16,37,1,1,3,0,5,1
561,2,81741.0,75,249,153,940,58,134,38,6,2,19,35,0,0,1,0,13,0
562,3,71499.0,12,465,25,132,136,0,37,8,4,19,44,1,1,3,0,18,2
563,0,62466.0,13,129,129,259,168,121,83,6,4,12,45,1,1,3,0,20,0
564,4,48799.0,9,174,18,81,28,6,24,3,3,14,52,1,1,2,0,12,3
565,4,52157.0,48,189,2,29,3,2,40,3,4,7,65,1,1,3,0,9,3
566,2,66565.0,80,747,10,161,65,40,42,4,8,25,53,1,1,2,0,15,2
567,3,29298.0,60,6,0,2,2,0,1,1,5,16,64,2,1,4,0,3,3
568,2,47691.0,43,14,0,3,0,0,4,1,6,18,36,1,1,2,0,3,1
569,2,38200.0,19,12,0,4,0,0,1,1,7,25,45,2,1,4,0,3,3
570,2,44989.0,26,98,0,106,49,10,106,5,6,28,41,1,1,3,0,11,2
571,4,38443.0,58,32,0,5,0,0,1,1,7,12,47,2,1,4,0,5,3
572,0,38593.0,42,51,12,49,17,24,24,4,8,16,37,1,1,2,0,7,1
573,4,64413.0,27,200,5,44,0,10,20,5,5,17,45,1,1,3,0,7,3
574,3,36959.0,56,25,6,25,6,0,0,2,8,15,34,1,1,3,0,5,1
575,4,61996.0,27,1050,12,144,0,0,24,6,5,24,38,1,1,3,3,15,2
576,2,51287.0,10,117,0,22,13,0,30,4,7,9,47,2,1,4,0,7,3
577,2,13260.0,48,9,4,17,10,2,7,3,8,17,45,2,1,4,0,7,3
578,4,47472.0,39,56,0,11,0,0,8,2,5,16,49,2,1,4,0,6,3
579,3,54603.0,85,145,13,46,17,2,4,4,7,18,59,2,1,4,0,12,3
580,4,45207.0,64,203,0,10,0,0,2,3,6,26,41,2,1,4,1,12,3
581,2,40689.0,69,270,3,27,39,6,99,7,8,22,64,1,1,3,0,13,2
582,0,47821.0,54,9,0,16,6,6,10,1,8,15,48,2,1,4,0,4,1
583,3,27450.0,57,37,12,23,8,11,52,2,7,21,64,0,0,2,0,5,1
584,2,39453.0,64,46,0,7,0,0,2,2,6,9,32,1,1,3,0,5,1
585,0,26850.0,10,31,1,13,7,2,9,2,4,9,44,2,1,4,0,9,3
586,2,79800.0,65,1060,21,530,32,0,224,5,3,28,60,0,0,1,3,17,0
587,3,61794.0,74,264,47,188,54,47,11,4,2,16,54,1,1,3,0,16,2
588,2,53863.0,4,399,4,30,6,4,30,7,7,8,60,1,1,3,1,11,3
589,2,24221.0,94,8,9,9,2,5,22,1,4,17,56,0,0,2,0,5,1
590,4,39684.0,41,19,0,35,6,4,17,2,7,27,31,1,1,2,0,5,1
591,3,92163.0,25,817,183,797,106,163,20,5,2,25,40,0,0,2,2,16,0
592,3,69882.0,94,292,127,635,132,127,165,3,1,14,50,0,0,1,0,17,0
593,2,33178.0,9,12,6,2,11,2,16,1,4,12,38,1,1,3,0,4,1
594,4,59973.0,47,130,30,168,20,34,0,3,1,16,43,0,0,2,0,12,0
595,3,17459.0,12,6,4,16,3,10,30,3,7,16,40,1,1,3,0,6,1
596,2,23910.0,80,16,12,18,7,1,13,2,7,27,46,1,1,2,0,4,1
597,3,42169.0,20,19,0,9,0,0,2,1,8,15,46,2,1,4,0,5,3
598,0,26224.0,39,4,7,15,13,9,15,2,6,19,37,1,1,3,0,7,1
599,2,31089.0,57,31,3,31,2,8,4,3,8,29,34,1,1,3,0,7,1
600,2,30081.0,27,36,0,2,0,0,4,1,7,23,54,1,1,2,0,4,1
601,2,62807.0,83,526,28,135,10,21,99,5,5,29,55,1,1,3,0,18,2
602,2,72906.0,79,400,32,519,71,75,54,3,1,16,60,0,0,1,0,14,0
603,4,61467.0,69,410,16,114,0,5,49,5,5,25,67,2,1,4,0,15,2
604,3,49618.0,77,80,3,26,4,2,14,3,7,24,49,2,1,4,0,8,3
605,3,21888.0,15,88,10,46,2,3,64,5,10,25,29,1,1,2,0,7,1
606,2,42429.0,99,55,0,6,2,0,4,1,5,11,42,1,1,2,0,6,1
607,2,26150.0,61,5,1,13,3,5,1,1,7,22,59,3,1,4,0,4,3
608,1,30801.0,23,8,4,5,15,2,11,1,7,27,40,1,1,3,0,5,1
609,2,81168.0,84,410,0,592,147,22,22,6,3,8,50,0,0,2,1,12,0
610,3,26877.0,74,101,13,76,20,18,40,3,6,17,46,0,0,1,0,9,1
611,3,45006.0,90,162,25,53,16,0,10,3,3,18,71,0,0,1,0,9,1
612,1,18978.0,41,2,8,1,4,7,15,1,8,25,42,1,1,3,0,4,1
613,2,22574.0,28,25,0,8,2,0,2,2,7,15,48,3,1,5,0,5,3
614,4,48240.0,73,389,91,248,64,49,41,6,5,26,46,0,0,1,0,19,0
615,2,45837.0,88,215,13,87,17,17,24,6,7,18,41,2,1,4,0,12,3
616,3,35791.0,94,27,0,5,0,0,3,1,8,20,50,3,1,4,0,5,3
617,4,162397.0,31,85,1,16,2,1,2,0,1,19,39,2,1,4,0,1,3
618,2,54162.0,31,5,6,10,6,5,10,1,4,22,37,2,1,3,0,4,3
619,3,30522.0,6,179,8,83,19,11,26,1,2,29,55,1,1,3,0,16,3
620,4,54456.0,23,352,0,27,10,0,15,6,6,18,54,1,1,3,0,11,3
621,2,31632.0,92,17,8,12,11,15,32,2,7,18,44,0,0,1,0,4,1
622,2,72298.0,52,625,35,169,58,17,35,4,1,10,66,0,0,1,2,10,0
623,0,36975.0,50,10,6,11,0,4,2,1,7,13,37,1,1,2,0,4,1
624,0,72635.0,54,390,22,323,104,35,107,6,3,19,60,0,0,2,1,15,0
625,2,13624.0,93,10,2,15,2,1,6,2,6,24,39,1,1,3,0,5,1
626,2,84196.0,56,215,63,507,231,31,190,8,3,19,40,1,1,2,0,12,0
627,2,70971.0,28,1001,17,572,93,125,17,11,7,28,55,1,1,3,0,23,2
628,4,34487.0,94,19,18,33,24,1,8,3,9,28,38,2,1,3,0,6,3
629,2,28769.0,76,41,5,129,10,3,3,4,9,25,38,1,1,2,0,8,1
630,4,69084.0,43,1181,107,199,39,30,30,7,8,14,45,1,1,3,0,18,2
631,4,65488.0,46,603,45,207,36,18,54,3,1,7,57,0,0,2,0,11,0
632,0,62466.0,13,129,129,259,168,121,83,6,4,12,45,1,1,3,0,20,0
633,0,32218.0,27,10,24,15,13,1,30,2,7,11,55,0,0,1,1,5,1
634,2,83917.0,12,514,22,732,42,198,79,6,3,21,42,0,0,1,0,15,0
635,2,46102.0,3,14,0,1,0,0,1,1,7,10,53,3,1,4,0,3,3
636,2,84574.0,72,387,20,713,38,54,163,9,5,19,63,0,0,1,0,23,0
637,2,56181.0,6,121,103,69,8,44,48,4,4,24,53,1,1,3,0,10,2
638,3,63120.0,53,965,69,279,54,41,69,8,7,28,65,1,1,2,0,18,2
639,2,73691.0,58,707,21,250,85,43,73,6,2,14,44,1,1,3,1,12,2
640,2,63381.0,78,571,50,142,33,50,159,4,2,27,55,1,1,3,0,22,2
641,4,76140.0,57,586,66,653,17,0,26,5,2,8,67,0,0,2,0,16,0
642,4,62859.0,37,1063,89,102,16,12,25,9,6,25,56,1,1,2,0,14,2
643,2,45906.0,20,305,3,27,4,3,144,5,5,20,51,1,1,2,1,10,2
644,3,77632.0,73,1200,105,758,0,42,147,4,2,22,68,0,0,2,2,9,0
645,4,46463.0,56,163,2,40,8,11,11,3,6,17,44,2,1,4,0,14,3
646,2,105471.0,36,1009,181,104,202,21,207,9,3,24,45,0,0,2,2,21,0
647,3,55282.0,9,125,6,73,8,4,19,3,4,13,45,1,1,2,0,8,3
648,3,78710.0,42,721,0,152,119,50,50,7,4,8,38,1,1,3,0,21,2
649,2,66886.0,28,315,4,62,41,31,146,7,5,16,57,1,1,3,0,10,2
650,3,98777.0,23,1000,19,711,125,115,38,4,1,11,55,0,0,1,1,15,0
651,2,29103.0,38,16,0,17,6,3,6,1,9,29,30,1,1,3,0,5,1
652,2,67445.0,63,757,80,217,29,80,11,9,6,29,41,1,1,3,0,23,2
653,4,50616.0,71,30,2,25,0,1,9,1,2,9,65,1,1,3,0,6,3
654,2,49431.0,9,219,3,100,26,0,17,7,8,29,60,1,1,2,0,8,2
655,2,153924.0,81,1,1,1,1,1,1,0,0,11,40,0,0,1,0,0,0
656,2,61278.0,87,111,3,28,2,6,15,3,6,12,62,1,1,3,0,7,3
657,0,26490.0,92,45,47,52,21,20,25,3,6,28,57,0,0,2,0,8,1
